# slug<TAB>polnische Uebersetzung des Charaktertexts der Grossregion.
# Der deutsche Text wird aus pass_data.json gezogen, hier steht nur die
# Uebersetzung. Geografische Eigennamen bleiben in der deutschen Form,
# weil die Listen- und Detailansichten dieselben Namen anzeigen.
overath-bergisches-land	Lesiste wzniesienia, doliny potoków, zapory wodne i dawne osady górnicze kształtują Bergisches Land wokół Overath.
siebengebirge-bonn-rhein-sieg	Wulkaniczne pasmo Siebengebirge wznosi się bezpośrednio z doliny Renu i łączy krótkie wyjścia szczytowe z zamkami, klasztorami i widokami na Ren.
nordeifel-nationalpark-eifel	Nordeifel łączy lasy bukowe, wysoczyzny, zbiorniki zaporowe i historyczne miejscowości z krajobrazami Parku Narodowego Eifel.
ahrtal-ahrgebirge	Strome zbocza skalne, winnice, ruiny zamków i wąskie zakola rzeki nadają dolinie Ahr jej wyrazisty charakter.
osteifel-laacher-see-hohe-eifel	Wulkanizm, kamieniołomy bazaltu i lawy, krajobrazy kraterowe oraz zamki określają Osteifel wokół jeziora Laacher See, Mayen i Hohe Eifel.
westerwald-siegerland	Westerwald i Siegerland łączą zalesione grzbiety z bazaltem, krasem, dawnymi osadami górniczymi i rozległymi widokami.
sauerland-rothaargebirge	Sauerland i Rothaargebirge tworzą wydłużone grzbiety leśne, wysoko położone wrzosowiska, zapory wodne i liczne wieże widokowe.
teutoburger-wald-egge-weserbergland	Długie grzbiety, piaskowcowe skały i historyczne zamki kształtują Teutoburger Wald, Eggegebirge i Weserbergland.
mittelrhein-koblenz-loreley	Dolina Mittelrhein łączy strome winnice, skalne ambony widokowe i wyjątkowo gęstą sieć zamków.
untermosel	Untermosel charakteryzuje się wąskimi zakolami rzeki, tarasowymi winnicami, skalnymi ścieżkami i licznymi zamkami nad doliną.
vulkaneifel	Jeziora maarowe, stożki wulkaniczne, skały dolomitowe i głębokie doliny czynią z Vulkaneifel jeden z najbardziej zróżnicowanych geologicznie krajobrazów średniogórskich Niemiec.
